district,address,bathrooms_count,country,typology,exterior,floor,hasLift,municipality,neighborhood,newDevelopment,price,price_per_m2,propertyCode,propertyType,province,rooms_count,size_m2,status,avg_price_per_district,price_category,date
Usera,calle Tuya,2,es,flat,true,3,false,Madrid,12 de Octubre-Orcasur,false,285000.0,2355.0,105495395,flat,Madrid,3,121.0,good,260476.03773584907,medium,2024-09-17
Centro,calle de Manuela Malasaña,3,es,flat,true,1,true,Madrid,Malasaña-Universidad,false,1150000.0,9504.0,105495636,flat,Madrid,3,121.0,good,769398.6464032421,high,2024-09-17
Arganzuela,paseo de las Acacias,3,es,flat,true,7,true,Madrid,Acacias,false,1195000.0,5064.0,105495786,penthouse,Madrid,3,236.0,good,457697.83419689117,high,2024-09-17
Fuencarral,"calle de la Costa Brava, 11",2,es,flat,true,3,true,Madrid,Mirasierra,false,755000.0,5808.0,105496551,flat,Madrid,3,130.0,renew,1052016.2767857143,low,2024-09-17
Centro,calle de la Ribera de Curtidores,1,es,flat,false,0,true,Madrid,Lavapiés-Embajadores,false,255000.0,5313.0,105497430,flat,Madrid,2,48.0,good,769398.6464032421,low,2024-09-17
Chamartín,barrio Nueva España,4,es,flat,true,4,true,Madrid,Nueva España,false,2650000.0,8079.0,105497630,flat,Madrid,5,328.0,renew,1658541.416,high,2024-09-17
Hortaleza,calle de Luis de la Mata,4,es,chalet,,,,Madrid,Palomas,false,1150000.0,3833.0,105497824,chalet,Madrid,5,300.0,good,1239664.2406015038,medium,2024-09-17
Parque Lisboa - La Paz,calle Princesa Doña Sofía,2,es,flat,true,2,true,Alcorcón,Parque Lisboa - La Paz,false,385000.0,3667.0,105497893,flat,Madrid,4,105.0,good,261900.0,high,2024-09-17
Barrio de Salamanca,calle de Núñez de Balboa,1,es,flat,true,4,true,Madrid,Recoletos,false,850500.0,10500.0,105498972,flat,Madrid,1,81.0,good,1569158.038243626,low,2024-09-17
Chamberí,calle de Blasco de Garay,1,es,flat,false,2,true,Madrid,Gaztambide,false,298000.0,7450.0,105499153,flat,Madrid,1,40.0,good,1240040.1756756757,low,2024-09-17
Arganzuela,paseo de las Delicias,1,es,flat,false,0,true,Madrid,Delicias,false,240000.0,4211.0,105499253,flat,Madrid,2,57.0,good,457697.83419689117,low,2024-09-17
Moncloa,paseo del Pintor Rosales,3,es,flat,true,4,true,Madrid,Argüelles,false,2500000.0,9025.0,105499922,flat,Madrid,4,277.0,renew,1540750.6917562725,high,2024-09-17
Cortijo Sur,calle de Cosme Damián Churruca,4,es,chalet,,,,Boadilla del Monte,,false,935000.0,2474.0,105502109,chalet,Madrid,6,378.0,good,1072826.7857142857,low,2024-09-17
El Olivar de Mirabal,calle Cabo Estaca de Bares,5,es,chalet,,,,Boadilla del Monte,,false,985000.0,2096.0,105503537,chalet,Madrid,6,470.0,good,926250.0,medium,2024-09-17
,calle Villaviciosa de Odón,3,es,chalet,,,,Humanes de Madrid,,false,420000.0,1484.0,105503612,chalet,Madrid,5,283.0,good,,medium,2024-09-17
Usera,calle de la Mezquita,1,es,flat,true,3,false,Madrid,San Fermín,false,175000.0,2465.0,105508966,flat,Madrid,3,71.0,good,260476.03773584907,low,2024-09-17
Chamberí,calle de Hartzenbusch,2,es,flat,true,3,true,Madrid,Trafalgar,false,820000.0,8632.0,105509080,flat,Madrid,2,95.0,good,1240040.1756756757,low,2024-09-17
Ciudad Lineal,calle de Francisco Villaespesa s/n,1,es,flat,true,3,false,Madrid,Ventas,false,235000.0,3917.0,105509347,flat,Madrid,2,60.0,good,584258.3493449781,low,2024-09-17
Centro Urbano,"calle Manuel Mateo López, 6",1,es,flat,true,1,true,San Sebastián de los Reyes,,true,191000.0,4775.0,105510060,flat,Madrid,1,40.0,newdevelopment,261378.26086956522,low,2024-09-17
Centro,calle de la Cruz,2,es,flat,false,6,true,Madrid,Sol,false,739000.0,8593.0,105510723,flat,Madrid,2,86.0,good,769398.6464032421,medium,2024-09-17
Hortaleza,calle de la Princesa de Éboli,2,es,flat,true,0,true,Madrid,Sanchinarro,false,540000.0,6835.0,105510963,flat,Madrid,2,79.0,renew,1239664.2406015038,low,2024-09-17
Centro,barrio Sol,6,es,flat,true,2,true,Madrid,Sol,false,1480000.0,4146.0,105511052,flat,Madrid,8,357.0,good,769398.6464032421,high,2024-09-17
La Moraleja urbanización,La Moraleja urbanización,7,es,chalet,,,,La Moraleja,,false,3400000.0,5667.0,105512052,chalet,Madrid,7,600.0,good,3082447.8260869565,high,2024-09-17
